source,status,matrix_phase,axis,dataset_mode,base_count,query_count,search_width,beam_width,memory_budget_ratio,io_mode,prefetch_depth,cache_policy,cache_pages,recall,qps,p95_ms,p99_ms,reads_per_query,page_requests_per_query,cache_hit_rate,prefetch_useful_ratio,git_commit
/home/liang/agent-aware/logs/sift_bench/matrix_sift1m_20260621/m1_search_width_sw128_bw16_m020_io_uring_pd1_r1.json,completed,m1_search_width,search_width,sift,1000000,100,128.0,16.0,0.2,io_uring,1.0,graph-aware-2q,15186,0.97,11.0853,172.369,178.599,318.24,228.0,0.65193,0.11654935341299721,a647f946a64807a9ea42ad5cf5fc4bd0fe57a5bd
/home/liang/agent-aware/logs/sift_bench/matrix_sift1m_20260621/m1_search_width_sw192_bw16_m020_io_uring_pd1_r1.json,completed,m1_search_width,search_width,sift,1000000,100,192.0,16.0,0.2,io_uring,1.0,graph-aware-2q,15186,0.984,6.25263,248.257,259.728,472.72,292.0,0.634452,0.11593544594666809,a647f946a64807a9ea42ad5cf5fc4bd0fe57a5bd
/home/liang/agent-aware/logs/sift_bench/matrix_sift1m_20260621/m1_search_width_sw256_bw16_m020_io_uring_pd1_r1.json,completed,m1_search_width,search_width,sift,1000000,100,256.0,16.0,0.2,io_uring,1.0,graph-aware-2q,15186,0.99,4.25629,326.477,337.783,643.95,356.0,0.574551,0.11515511943701061,a647f946a64807a9ea42ad5cf5fc4bd0fe57a5bd
/home/liang/agent-aware/logs/sift_bench/matrix_sift1m_20260621/m1_search_width_sw350_bw16_m020_io_uring_pd1_r1.json,completed,m1_search_width,search_width,sift,1000000,100,350.0,16.0,0.2,io_uring,1.0,graph-aware-2q,15186,0.994,2.76716,466.966,477.801,911.71,450.0,0.509689,0.11084476656467238,a647f946a64807a9ea42ad5cf5fc4bd0fe57a5bd
/home/liang/agent-aware/logs/sift_bench/matrix_sift1m_20260621/m1_search_width_sw512_bw16_m020_io_uring_pd1_r1.json,completed,m1_search_width,search_width,sift,1000000,100,512.0,16.0,0.2,io_uring,1.0,graph-aware-2q,15186,0.995,1.6193,761.083,775.26,1397.89,612.0,0.389003,0.08960869070640427,a647f946a64807a9ea42ad5cf5fc4bd0fe57a5bd
/home/liang/agent-aware/logs/sift_bench/matrix_sift1m_20260621/m2_beam_width_sw256_bw16_m020_io_uring_pd1_r1.json,completed,m2_beam_width,beam_width,sift,1000000,100,256.0,16.0,0.2,io_uring,1.0,graph-aware-2q,15186,0.99,4.08407,340.156,353.487,649.29,356.0,0.57691,0.1157589644165051,a647f946a64807a9ea42ad5cf5fc4bd0fe57a5bd
/home/liang/agent-aware/logs/sift_bench/matrix_sift1m_20260621/m2_beam_width_sw256_bw32_m020_io_uring_pd1_r1.json,completed,m2_beam_width,beam_width,sift,1000000,100,256.0,32.0,0.2,io_uring,1.0,graph-aware-2q,15186,0.989,8.45677,208.463,220.76,385.17,356.0,0.587669,0.14938290770783202,a647f946a64807a9ea42ad5cf5fc4bd0fe57a5bd
/home/liang/agent-aware/logs/sift_bench/matrix_sift1m_20260621/m2_beam_width_sw256_bw8_m020_io_uring_pd1_r1.json,completed,m2_beam_width,beam_width,sift,1000000,100,256.0,8.0,0.2,io_uring,1.0,graph-aware-2q,15186,0.993,2.06126,640.67,648.3,1102.54,356.0,0.63736,0.10053141225601268,a647f946a64807a9ea42ad5cf5fc4bd0fe57a5bd
/home/liang/agent-aware/logs/sift_bench/matrix_sift1m_20260621/m2_beam_width_sw350_bw16_m020_io_uring_pd1_r1.json,completed,m2_beam_width,beam_width,sift,1000000,100,350.0,16.0,0.2,io_uring,1.0,graph-aware-2q,15186,0.994,2.73906,470.12,487.439,913.75,450.0,0.5104,0.11139062609795516,a647f946a64807a9ea42ad5cf5fc4bd0fe57a5bd
/home/liang/agent-aware/logs/sift_bench/matrix_sift1m_20260621/m2_beam_width_sw350_bw32_m020_io_uring_pd1_r1.json,completed,m2_beam_width,beam_width,sift,1000000,100,350.0,32.0,0.2,io_uring,1.0,graph-aware-2q,15186,0.993,5.24924,278.339,286.925,559.43,450.0,0.509378,0.14494227597581089,a647f946a64807a9ea42ad5cf5fc4bd0fe57a5bd
/home/liang/agent-aware/logs/sift_bench/matrix_sift1m_20260621/m2_beam_width_sw350_bw8_m020_io_uring_pd1_r1.json,completed,m2_beam_width,beam_width,sift,1000000,100,350.0,8.0,0.2,io_uring,1.0,graph-aware-2q,15186,0.994,1.44978,846.883,859.241,1542.52,450.0,0.515156,0.08324821626941228,a647f946a64807a9ea42ad5cf5fc4bd0fe57a5bd
